sido,school_level,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
부산,중학교,2025,157,157,69471.0,442.49044585987264,423.0,1,,,,0.06820014137609655,0.0,0.0
부산,중학교,2026,157,157,69719.10044761651,444.07070348800323,427.79370089674086,1,,,,0.06820014137609655,248.1004476165108,0.003571280787904461
부산,중학교,2027,157,157,68830.89848101258,438.4133661210993,411.4159162573797,1,,,,0.06820014137609655,-640.1015189874161,-0.009213938463350406
부산,중학교,2028,157,157,67259.07609286338,428.40175855326993,408.8839720535138,1,,,,0.06820014137609655,-2211.9239071366173,-0.031839528826943866
부산,중학교,2029,157,157,66630.60242008971,424.3987415292338,403.3916878792686,1,,,,0.06820014137609655,-2840.397579910292,-0.04088609030977375
부산,중학교,2030,157,157,66953.25842193128,426.45387529892537,403.916421477612,1,32.0,1.0,1.0,0.06820014137609655,-2517.741578068715,-0.03624161992872875
부산,초등학교,2025,248,248,95269.0,384.1491935483871,373.5,20,,,,0.04441115580603359,0.0,0.0
부산,초등학교,2026,248,248,89989.00433205074,362.85888843568847,353.36144092236066,20,,,,0.04441115580603359,-5279.995667949261,-0.055421970084174925
부산,초등학교,2027,248,248,85062.93946713912,342.99572365781904,330.5521388704165,23,,,,0.04441115580603359,-10206.06053286088,-0.10712887227598568
부산,초등학교,2028,248,248,79708.15161197103,321.40383714504446,304.2952052911051,27,,,,0.04441115580603359,-15560.848388028971,-0.16333590557294578
부산,초등학교,2029,248,248,74190.44841918573,299.15503394832956,279.3159855213106,36,,,,0.04441115580603359,-21078.551580814266,-0.22125299500167175
부산,초등학교,2030,248,248,69152.08005121617,278.8390324645813,254.506896433216,40,237.0,1.0,3.0,0.04441115580603359,-26116.919948783834,-0.2741387014536086
서울,고등학교,2025,274,274,171747.0,626.8138686131387,604.5,0,,,,0.01391090351070818,0.0,0.0
서울,고등학교,2026,274,274,165088.7713359631,602.5137639998653,566.5148325483,0,,,,0.01391090351070818,-6658.228664036898,-0.0387676562853319
서울,고등학교,2027,274,274,159443.69867514458,581.9113090333744,546.1238181024181,1,,,,0.01391090351070818,-12303.30132485542,-0.07163619349889908
서울,고등학교,2028,274,274,157840.65650316287,576.0607901575287,544.2843683930499,1,,,,0.01391090351070818,-13906.34349683713,-0.08096993540985944
서울,고등학교,2029,274,274,156435.30941379108,570.9317861817193,541.1466237872803,1,,,,0.01391090351070818,-15311.690586208919,-0.08915259414259881
서울,고등학교,2030,274,274,155086.483864354,566.0090651983722,542.2580760369854,1,210.0,0.0,0.0,0.01391090351070818,-16660.516135646,-0.09700615519133376
서울,중학교,2025,366,366,183518.0,501.41530054644807,443.5,1,,,,0.012672714180043104,0.0,0.0
서울,중학교,2026,366,366,183113.38894762163,500.3098058678187,436.18486420088965,1,,,,0.012672714180043104,-404.6110523783718,-0.002204748593480595
서울,중학교,2027,366,366,180509.61423180997,493.19566730002725,426.6245570544195,1,,,,0.012672714180043104,-3008.3857681900263,-0.01639286483173327
서울,중학교,2028,366,366,176234.6024434145,481.515307222444,419.0501610989655,1,,,,0.012672714180043104,-7283.397556585493,-0.039687646751738206
서울,중학교,2029,366,366,174009.91605771077,475.4369291194283,415.18303033310326,1,,,,0.012672714180043104,-9508.083942289231,-0.05181008915904288
서울,중학교,2030,366,366,174207.15921932645,475.97584486154767,417.6341457135312,1,140.0,0.0,0.0,0.012672714180043104,-9310.840780673549,-0.0507352999742453
서울,초등학교,2025,539,539,280053.0,519.5788497217069,465.0,0,,,,0.007112288414477766,0.0,0.0
서울,초등학교,2026,539,539,266120.3366236363,493.72975254849035,441.4311687233304,0,,,,0.007112288414477766,-13932.663376363693,-0.04975009507615949
서울,초등학교,2027,539,539,253228.36613939743,469.81143996177633,421.5923558513903,1,,,,0.007112288414477766,-26824.633860602567,-0.09578413321979257
서울,초등학교,2028,539,539,238757.93249123942,442.9646242880138,391.9144228780728,2,,,,0.007112288414477766,-41295.06750876058,-0.14745447293462516
서울,초등학교,2029,539,539,223663.82005766453,414.9607051162607,366.2940206493767,2,,,,0.007112288414477766,-56389.17994233547,-0.20135181534329383
서울,초등학교,2030,539,539,209707.4009647844,389.06753425748497,339.4512654977367,3,516.0,0.0,0.0,0.007112288414477766,-70345.5990352156,-0.25118673620784493
