sido,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
제주,2029,178,178,56230.97527715801,315.9043554896517,218.81348502732948,40,,,,1.7141296853019914,-6580.02472284199,-0.10475911421314722
제주,2030,178,178,54987.44723837705,308.9182429122306,210.99761677007865,40,71.0,17.0,22.0,1.7141296853019914,-7823.552761622952,-0.12455704831355896
충남,2025,645,645,166780.0,258.5736434108527,113.0,246,,,,1.8332941326420698,0.0,0.0
충남,2026,645,645,161210.1280116951,249.9381829638684,106.79992772762895,248,,,,1.8332941326420698,-5569.871988304891,-0.03339652229466897
충남,2027,645,645,155726.68379323347,241.4367190592767,99.47067031285717,257,,,,1.8332941326420698,-11053.316206766525,-0.0662748303559571
충남,2028,645,645,150925.12019701896,233.9924344139829,97.12468736617494,262,,,,1.8332941326420698,-15854.879802981042,-0.09506463486617725
충남,2029,645,645,146507.33290205552,227.1431517861326,94.34270530844222,274,,,,1.8332941326420698,-20272.667097944475,-0.12155334631217457
충남,2030,645,645,142761.1164885679,221.33506432336108,92.66912947792738,284,403.0,139.0,203.0,1.8332941326420698,-24018.883511432097,-0.14401537061657332
충북,2025,438,438,128243.0,292.7922374429224,213.5,150,,,,1.6529820753378581,0.0,0.0
충북,2026,438,438,124179.86554034811,283.5156747496532,204.69239413884674,155,,,,1.6529820753378581,-4063.13445965189,-0.03168308960061672
충북,2027,438,438,120110.46821760832,274.2248132822108,194.7117038527231,154,,,,1.6529820753378581,-8132.531782391685,-0.06341501510719248
충북,2028,438,438,116619.59779577614,266.25478948807336,187.72566468903332,159,,,,1.6529820753378581,-11623.402204223865,-0.0906357633884412
충북,2029,438,438,113465.82941216149,259.054405050597,178.7462273006248,164,,,,1.6529820753378581,-14777.170587838511,-0.11522789226576508
충북,2030,438,438,110503.85321045727,252.29190230698006,171.7123379968708,168,283.0,101.0,130.0,1.6529820753378581,-17739.146789542734,-0.13832448390588753
