sido,sgg,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
전북,무주군,2029,21,21,1379.472820906306,65.68918194791934,39.54089953992115,16,,,,5.085181518971216,-272.52717909369403,-0.1649680260857712
전북,무주군,2030,21,21,1326.453670392586,63.16446049488505,35.46220993579,16,16.0,16.0,16.0,5.085181518971216,-325.546329607414,-0.19706194286163076
전북,부안군,2025,38,38,3445.0,90.65789473684211,34.5,26,,,,3.478330360040456,0.0,0.0
전북,부안군,2026,38,38,3270.004669094733,86.0527544498614,31.255050854572723,26,,,,3.478330360040456,-174.9953309052671,-0.05079690302039684
전북,부안군,2027,38,38,3130.3868188438214,82.37860049589004,27.7679917778825,26,,,,3.478330360040456,-314.6131811561786,-0.09132458088713458
전북,부안군,2028,38,38,2996.363868597143,78.8516807525564,26.553804601482703,26,,,,3.478330360040456,-448.6361314028568,-0.13022819489197585
전북,부안군,2029,38,38,2889.5900203560614,76.04184264094899,25.332134472432948,26,,,,3.478330360040456,-555.4099796439386,-0.1612220550490388
전북,부안군,2030,38,38,2785.947331653114,73.31440346455562,22.96771334646249,26,26.0,15.0,21.0,3.478330360040456,-659.0526683468861,-0.191307015485308
전북,순창군,2025,25,25,1964.0,78.56,33.0,18,,,,2.877130256670348,0.0,0.0
전북,순창군,2026,25,25,1858.0653950151523,74.32261580060609,29.20438162396759,18,,,,2.877130256670348,-105.93460498484774,-0.053938189910818606
전북,순창군,2027,25,25,1798.7044903861815,71.94817961544726,29.569236327780427,18,,,,2.877130256670348,-165.29550961381847,-0.08416268310275889
전북,순창군,2028,25,25,1766.4710204522435,70.65884081808974,26.526424309888863,18,,,,2.877130256670348,-197.52897954775653,-0.10057483683694325
전북,순창군,2029,25,25,1706.2161772690745,68.24864709076297,25.257774998156243,18,,,,2.877130256670348,-257.7838227309255,-0.13125449222552216
전북,순창군,2030,25,25,1653.966689374677,66.15866757498708,22.66141068954844,18,15.0,12.0,17.0,2.877130256670348,-310.0333106253231,-0.15785810113305657
전북,완주군,2025,45,45,6231.0,138.46666666666667,91.0,18,,,,2.624914914898669,0.0,0.0
전북,완주군,2026,45,45,6079.984623207595,135.11076940461322,88.94777009409695,18,,,,2.624914914898669,-151.01537679240482,-0.024236138146750894
전북,완주군,2027,45,45,5962.63737594913,132.50305279886956,87.57980074535419,18,,,,2.624914914898669,-268.3626240508702,-0.04306894945448085
전북,완주군,2028,45,45,5779.178035497565,128.42617856661258,87.04145110740544,19,,,,2.624914914898669,-451.82196450243464,-0.07251195065036665
전북,완주군,2029,45,45,5652.02746248611,125.60061027746912,85.62148680048367,19,,,,2.624914914898669,-578.9725375138896,-0.09291807695616909
전북,완주군,2030,45,45,5541.225806137686,123.13835124750413,85.15026899645844,19,18.0,6.0,10.0,2.624914914898669,-689.774193862314,-0.11070040023468367
전북,익산시,2025,95,95,23767.0,250.17894736842106,145.0,36,,,,0.48456897208455935,0.0,0.0
전북,익산시,2026,95,95,22797.69461233993,239.97573276147293,133.0165870120578,36,,,,0.48456897208455935,-969.3053876600716,-0.040783665909036544
전북,익산시,2027,95,95,21859.309033936403,230.0979898309095,124.99511632480332,37,,,,0.48456897208455935,-1907.6909660635974,-0.08026637632278358
전북,익산시,2028,95,95,21032.490716031956,221.39463911612586,112.76067186822291,37,,,,0.48456897208455935,-2734.5092839680437,-0.11505487793865628
전북,익산시,2029,95,95,20342.75780186764,214.1342926512383,106.54998729493396,39,,,,0.48456897208455935,-3424.2421981323605,-0.14407549114875082
전북,익산시,2030,95,95,19811.37835710663,208.54082481164875,105.85880818792808,39,66.0,5.0,9.0,0.48456897208455935,-3955.6216428933694,-0.16643335898066097
전북,임실군,2025,23,23,1316.0,57.21739130434783,24.0,18,,,,3.9108177862872755,0.0,0.0
전북,임실군,2026,23,23,1254.0064790813315,54.52202082962311,22.75683916179061,18,,,,3.9108177862872755,-61.99352091866854,-0.04710753869199737
전북,임실군,2027,23,23,1205.5913193475644,52.41701388467671,22.2673217628195,18,,,,3.9108177862872755,-110.40868065243558,-0.08389717374805135
전북,임실군,2028,23,23,1167.6240584120535,50.76626340921972,20.156129668340878,18,,,,3.9108177862872755,-148.3759415879465,-0.11274767597868275
전북,임실군,2029,23,23,1102.9525954264698,47.954460670716074,18.438098554839268,19,,,,3.9108177862872755,-213.04740457353023,-0.16189012505587402
전북,임실군,2030,23,23,1051.0738851072135,45.69886456987885,17.670969310981132,19,16.0,12.0,17.0,3.9108177862872755,-264.9261148927865,-0.20131163745652467
전북,장수군,2025,20,20,1407.0,70.35,27.0,13,,,,3.2267162740087785,0.0,0.0
전북,장수군,2026,20,20,1339.0715402079504,66.95357701039752,24.854002895567213,13,,,,3.2267162740087785,-67.92845979204958,-0.04827893375412195
전북,장수군,2027,20,20,1246.614166223033,62.330708311151646,25.32010535618717,13,,,,3.2267162740087785,-160.38583377696705,-0.11399135307531418
전북,장수군,2028,20,20,1210.2774571290167,60.51387285645084,25.142220132754844,13,,,,3.2267162740087785,-196.72254287098326,-0.13981701696587295
전북,장수군,2029,20,20,1166.416323573442,58.3208161786721,21.92069993351374,14,,,,3.2267162740087785,-240.583676426558,-0.17099053050928073
전북,장수군,2030,20,20,1119.3971966865806,55.96985983432903,20.138725391111212,14,12.0,11.0,13.0,3.2267162740087785,-287.6028033134194,-0.20440853113960156
전북,전주시,2025,117,117,51708.0,441.94871794871796,439.0,5,,,,0.03729844295228501,0.0,0.0
전북,전주시,2026,117,117,49375.70022388992,422.014531828119,408.49646773539865,5,,,,0.03729844295228501,-2332.299776110078,-0.0451052018277651
전북,전주시,2027,117,117,47280.81832083367,404.10955829772365,384.1515336796606,7,,,,0.03729844295228501,-4427.18167916633,-0.08561889222492322
전북,전주시,2028,117,117,45617.56220229793,389.8936940367344,364.2600059714736,8,,,,0.03729844295228501,-6090.43779770207,-0.11778521307538621
전북,전주시,2029,117,117,44210.610831981845,377.8684686494175,352.26766790182063,9,,,,0.03729844295228501,-7497.389168018155,-0.1449947622808493
전북,전주시,2030,117,117,42929.55070897677,366.9192368288613,344.51989629295787,10,96.0,0.0,0.0,0.03729844295228501,-8778.44929102323,-0.16976965442529646
전북,정읍시,2025,64,64,8787.0,137.296875,54.0,35,,,,1.163352904522181,0.0,0.0
전북,정읍시,2026,64,64,8442.233977531418,131.9099058989284,48.95494766385093,35,,,,1.163352904522181,-344.7660224685824,-0.03923591925214321
전북,정읍시,2027,64,64,8021.678523069418,125.33872692295965,49.11692963415968,36,,,,1.163352904522181,-765.3214769305823,-0.08709701569711874
전북,정읍시,2028,64,64,7731.13302350391,120.7989534922486,47.54251306382932,36,,,,1.163352904522181,-1055.8669764960896,-0.12016239632367015
전북,정읍시,2029,64,64,7489.6875366830245,117.02636776067226,45.977281459270344,36,,,,1.163352904522181,-1297.3124633169755,-0.14763997534050022
